Frequenz [Hz] & verstärkte Amplitude [V] & Nicht-verstärkte Amplitude [mV] & Phasenverschiebung [DEG] # R1 = 1 kOhm; R2= 100kOhm; Phasen alle negativ; An Phasengenerator eingestellte Amplitude: 200 mV
10.00 ; 19.5 ; 215 ; 180
15.44 ; 10.1 ; 125 ; 180
23.85 ; 9.8 ; 125 ; 175
36.84 ; 9.8 ; 119 ; 177
56.90 ; 9.5 ; 100 ; 177
87.88 ; 9.6 ; 120 ; 177
135.72 ; 10.1 ; 120 ; 180
209.61 ; 10.1 ; 120 ; 180
323.74 ; 10.1 ; 120 ; 180
500 ; 9.6 ; 120 ; 177
564.42 ; 10.1 ; 123 ; 180
637.14 ; 10.1 ; 120 ; 178
719.22 ; 10.1 ; 123 ; 178
811.89 ; 9.2 ; 105 ; 178
916.49 ; 9.2 ; 105 ; 175
1034.57 ; 9.2 ; 115 ; 175
1167.86 ; 9.2 ; 110 ; 175
1318.33 ; 10.1 ; 100 ; 170
1488.18 ; 9.8 ; 120 ; 168
1679.91 ; 9.8 ; 110 ; 165
1896.35 ; 9.6 ; 115 ; 170
2140.67 ; 9.6 ; 115; 168
2416.47 ; 9.6 ; 115 ; 165
2727.80 ; 9.6; 115 ; 165
3079.24 ; 9.6 ; 115 ; 160
3475.96 ; 9.6 ; 120 ; 160
3923.80 ; 9.4 ; 118 ; 157
4429.33 ; 9.2 ; 115 ; 155
5000 ; 9.2 ; 120 ; 150
