Frequenz [Hz] & verstärkte Amplitude [V] & Nicht-verstärkte Amplitude [mV] & Phasenverschiebung [DEG] # R1 = 1 kOhm; R2= 100kOhm; An Phasengenerator eingestellte Amplitude: 200 mV
500 ; 3.4 ; 215 ; 180
564.42 ; 3.4 ; 215 ; 180
637.14 ; 3.4 ; 215 ; 180
719.22 ; 3.4 ; 215 ; 180
811.89 ; 3.4 ; 215 ; 180
916.49 ; 3.4 ; 215 ; 180
1034.57 ; 3.4 ; 215 ; 180
1167.86 ; 3.4 ; 215 ; 178
1318.33 ; 3.4 ; 215 ; 178
1488.18 ; 3.4 ; 215 ; 178 
1679.91 ; 3.4 ; 215 ; 178
1896.35 ; 3.4 ; 215 ; 180
2140.67 ; 3.1 ; 215 ; 178
2416.47 ; 3.1 ; 215 ; 178
2727.80 ; 3.1 ; 215 ; 178
3079.24 ; 3.1 ; 215 ; 176
3475.96 ; 3.1 ; 215 ; 176
3923.80 ; 3.1 ; 215 ; 176
4429.33 ; 2.9 ; 215 ; 173
5000 ; 3.0 ; 215 ; 173
